regiao	cidade	hospital	Efetivo Enf	Efetivo Quarto	Efetivo Plus Enf	Efetivo Plus Quarto	Saúde + Enf	Saúde + Quarto	Nacional II Enf	Nacional III Quarto	Nacional III 2 Quarto	Nacional III 3 Quarto	Nacional Plus 4 Quarto	Nacional Plus 6 Quarto	Nacional Plus 8 Quarto	Premium 6 Quarto	Premium 8 Quarto	Premium 10 Quarto
Baixada Santista	Santos	Casa de Saúde	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Baixada Santista	Santos	H Ana Costa - Dr Aloísio F	H,M	H,M	-	-	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Baixada Santista	São Vicente	H Ana Costa	H,M	H,M	-	-	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Baixada Santista	Praia Grande	H Igesp Litoral	-	-	H	H	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	São Vicente	H São José	-	-	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Praia Grande	Casa de Saúde	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Guarujá	H do Guarujá	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Santos	H Frei Galvão	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	São Vicente	H Ana Costa - Presidente Wilson	-	-	H,M	H,M	-	-	-	-	-	-	-	-	-	-	-	-
Baixada Santista	Santos	IMUVI Ana Costa	-	-	H,M	H,M	-	-	-	-	-	-	-	-	-	-	-	-
Baixada Santista	Santos	Med Center Unid Cirúrgica	-	-	H	H	-	-	-	-	-	-	-	-	-	-	-	-
Campinas e Região	Campinas	Casa de Saúde Vera Cruz Campinas	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Jundiaí	GRENDACC	H	H	H	H	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Amparo	H Benef Portuguesa de Amparo	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Campinas	H Boldrini	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Sumaré	H Day Sumaré	H,PS	H,PS	H,PS	H,PS	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Jundiaí	H Paulo Sacramento	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itupeva	H Psiquiátrico Itupeva	H	H	H	H	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Hortolândia	H Samaritano Hortolândia	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Jundiaí	H Sta Elisa	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Campinas e Região	Indaiatuba	H Sta Ignês	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Capivari	H Unimed	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Bragança Paulista	H Universitário HUSF	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Piracicaba	HFC	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itapira	Inst Bairral Psiquiatria	H	H	H	H	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Indaiatuba	Instituto Indaiá - IRPSI	H	H	H	H	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Espírito Santo do Pinhal	Irmandade do H Francisco Rosa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Serra Negra	Santa Rosa de Lima	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Americana	São Francisco de Americana	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Rio Claro	São Rafael	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Campinas e Região	Bragança Paulista	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itapira	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itatiba	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Leme	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Louveira	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Pirassununga	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Valinhos	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Vinhedo	Sta Casa	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Campinas e Região	Casa Branca	Sta Casa de Casa Branca	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	São João da Boa Vista	Sta Casa Dona Carolina Malheiros	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Cosmópolis	Sta Gertrudes	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Limeira	Frei Galvão de Limeira	H,M,PS	H,M,PS	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Artur Nogueira	H Bom Samaritano	H,M,PS	H,M,PS	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	H São Luiz	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Santa Bárbara d'Oeste	H Sta Bárbara	H,M,PS	H,M,PS	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	H Vera Cruz	H,M	H,M	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Limeira	Medical de Limeira	-	-	-	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Atibaia	Albert Sabin	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	Campinas Day H	-	-	-	-	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Campinas	Centro Médico Campinas	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Itapira	Clín Repouso Sta Fé	-	-	-	-	-	-	H	H	H	H	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Indaiatuba	CM São Camilo	-	-	-	-	-	-	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB
Campinas e Região	Campinas	H Benef Portuguesa de Campinas	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Campinas	H Coração de Campinas	-	-	-	-	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Campinas	H e Mat de Campinas	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Valinhos	H e Mat Galileo	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	H Geral e Mat Sta Tereza	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itatiba	H Itatiba	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Atibaia	H Novo Atibaia	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	H PUC	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	H Renascença Campinas	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Americana	H São Lucas	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Brotas	H Sta Therezinha	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	São José do Rio Pardo	H Unimed SJRB	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	Irmandade de Misericórdia de Campinas	-	-	-	-	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Campinas	Madre Theodora	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Jundiaí	Pitangueiras	-	-	-	-	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Campinas e Região	Monte Mor	Sagrado Coração de Jesus	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Santa Bárbara d'Oeste	Samaritano - Sta Bárbara D'oeste	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	Samaritano de Campinas	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Cabreúva	Sta Casa	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Capivari	Sta Casa	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Mococa	Sta Casa	-	-	-	-	-	-	H	H	H	H	H	H	H	H	H	H
Campinas e Região	São Pedro	Sta Casa	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Piracaia	Sta Casa São Vicente de Paulo	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Rio Claro	Sta Filomena	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Matão	Carlos F Malzoni	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Cajuru	Casa Vicente de Paulo	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Santo Anastácio	H Anita Costa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	São José do Rio Preto	H Austa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Fernandópolis	H das Clínicas	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Interior	Macatuba	H de Macatuba	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Rancharia	H e Mat de Rancharia	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Franca	H e Mat São Joaquim	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Registro	H e Mat São José	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Interior	Mirassol	H HB Saúde	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Presidente Prudente	H Iamada	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Lençóis Paulista	H N S da Piedade	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Araras	H Pro Saúde Geral Araras	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Bauru	H São Francisco Bauru	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Barretos	H São Jorge	H,PS	H,PS	H	H	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Ituverava	H São Jorge	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Ribeirão Preto	H São Lucas	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Ribeirão Preto	H São Lucas Ribeirânia	H,M	H,M	H,M	H,M	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Birigui	H Unimed Birigui	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Bebedouro	H Unimed Samaritano	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Assis	IAM	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Interior	Araraquara	Mat Gota de Leite	H	H	H	H	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Nhandeara	São Domingos Providência de Deus	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Tupã	São Francisco Assis de Tupã	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Novo Horizonte	São José Novo Horizonte	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Interior	Araraquara	Sta Casa	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Assis	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Bariri	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Descalvado	Sta Casa	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Fernandópolis	Sta Casa	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Lins	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Marília	Sta Casa	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Monte Alto	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Nova Granada	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Ourinhos	Sta Casa	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Interior	Paraguaçu Paulista	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Pederneiras	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Penápolis	Sta Casa	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Ribeirão Preto	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Santa Fé do Sul	Sta Casa	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	São Carlos	Sta Casa	H,PS	H,PS	H,PS	H,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	São Joaquim da Barra	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Serrana	Sta Casa	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Tupã	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Votuporanga	Sta Casa	H,M	H,M	H,M	H,M	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Batatais	Sta Casa Batatais	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Adamantina	Sta Casa de Adamantina	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Araras	Sta Casa de Araras	H,M	H,M	H,M	H,M	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Capão Bonito	Sta Casa de Capão Bonito	H,M	H,M	H,M	H,M	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Interior	Fartura	Sta Casa de Fartura	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Igarapava	Sta Casa de Igarapava	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Jales	Sta Casa de Jales	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Olímpia	Sta Casa de Olímpia	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Ribeirão Preto	Civil H C Ribeirão Preto	H,M	H,M	-	-	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Interior	São José do Rio Preto	H do Coração S J Rio Preto	H	H	-	-	-	-	H	H	H	H	H	H	H	H	H	H
Interior	Jarinu	H Jarinu	H	H	-	-	-	-	H	H	H	H	H	H	H	H	H	H
Interior	Registro	H São João	-	-	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Bariri	Sta Casa de Bariri	H,M,PS	H,M,PS	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Jaboticabal	H São Marcos	-	H,M	-	H,M	-	-	-	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M	H,M
Interior	Apiaí	Ass Benef de Apiaí	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
