regiao	cidade	hospital	Efetivo Enf	Efetivo Quarto	Efetivo Plus Enf	Efetivo Plus Quarto	Saúde + Enf	Saúde + Quarto	Nacional II Enf	Nacional III Quarto	Nacional III 2 Quarto	Nacional III 3 Quarto	Nacional Plus 4 Quarto	Nacional Plus 6 Quarto	Nacional Plus 8 Quarto	Premium 6 Quarto	Premium 8 Quarto	Premium 10 Quarto
São Paulo - Zona Oeste	Vila Jaguara	Saint Patrick - Jaguara/Oeste	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Oeste	Cidade Jardim	H e Mat São Luíz - Morumbi	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Oeste	Vila Romana	Metropolitano - Cirurgica	-	-	H,M,PS	H,M,PS	-	-	-	-	-	-	-	-	-	-	-	-
São Paulo - Zona Sul	Ipiranga	Dom Alvarenga	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Paraíso	H e Mat Sta Maria	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Sul	Vila Clementino	Rim e Hipertensão	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Indianópolis	Ruben Berta	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Indianópolis	Alvorada - Moema	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Clementino	GRAACC	H,PS	H,PS	H	H	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Parque Jabaquara	H da Criança - Jabaquara	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Parque Jabaquara	H e Mat São Luíz - Jabaquara	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
