regiao	cidade	hospital	Prata Pró ABCDM Enf	Prata Pró ABCDM Quarto	Prata Pró Enf	Prata Pró Quarto	Ouro Pró Quarto	Diamante Pró Quarto	P220 Enf	P220 Quarto	P320 Enf	P320 Quarto	P420 Quarto	P470 Quarto	P520 Quarto	Bronze Brasil I Enf	Bronze Brasil I Quarto	Prata Mais I Enf	Prata Mais I Quarto	Ouro Mais I Quarto	Ouro Max I Quarto	Diamante Mais I Quarto
São Paulo - Zona Oeste	Vila Pompéia	São Camilo Pompéia	-	-	-	-	H,PS	H,PS	-	-	-	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Oeste	Cerqueira César	Clínicas FMUSP - Incor	-	-	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Zona Oeste	Cerqueira César	H das Clínicas FMUSP - Instituto da Criança	-	-	-	-	-	-	-	-	-	-	-	-	-	PSP	PSP	PSP	PSP	PSP	PSP	PSP
São Paulo - Zona Oeste	Butantã	H Luz	-	-	-	-	-	-	-	-	-	-	-	-	-	PS	PS	PS	PS	PS	PS	PS
São Paulo - Zona Oeste	Higienópolis	Sta Isabel	-	-	-	-	-	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Oeste	Cidade Jardim	H e Mat São Luíz - Morumbi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS
São Paulo - Zona Oeste	Perdizes	CM Albert Einstein	-	-	-	-	-	-	-	-	-	-	-	-	PS	-	-	-	-	-	-	PS
São Paulo - Zona Sul	Indianópolis	API Psiquiátrica Integrada	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Zona Sul	Vila Olímpia	Blanc	-	-	H¹	H¹	H¹	H¹	H	H	H	H	H	H	H	H	H	H	H	H	H	H
São Paulo - Zona Sul	Vila Mariana	Clín Maia (Psiquiatria)	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Zona Sul	Paraíso	H de Olhos Paulista	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Zona Sul	Vila Clementino	Rim e Hipertensão	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Zona Sul	Indianópolis	Ruben Berta	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Zona Sul	Vila Mariana	Sta Rita	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Clementino	Cto de Tratamento Bezerra de Menezes - SP	H¹	H¹	-	-	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Zona Sul	Vila Monumento	São Camilo Ipiranga	-	-	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Clementino	AACD	-	-	-	-	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Zona Sul	Indianópolis	Alvorada - Moema	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Cantinho do Céu	Cema - Bela Vista (Shopping Paulista)	-	-	-	-	-	-	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹
São Paulo - Zona Sul	Jardim Umuarama	Cema - Interlagos	-	-	-	-	-	-	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹
São Paulo - Zona Sul	Ipiranga	Dom Alvarenga	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Clementino	GRACC	-	-	-	-	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
São Paulo - Zona Sul	Saúde	H e Mat Bosque da Saúde	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Jardim Campo Grande	H e Mat Vida's	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Santo Amaro	H Luz Sto Amaro	-	-	-	-	-	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	PS	PS	PS	PS	PS	PS	PS
São Paulo - Zona Sul	Moema	Ophthal H Especializado	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Mariana	H e Mat São Rafael	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H	H	H	H	H	H	H
São Paulo - Zona Sul	Vila Mariana	H e Mat Sepaco	-	-	-	-	H,PS	H,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
