regiao	cidade	hospital	Bronze SP Enf	Bronze SP Mais Enf	Prata Enf	Prata Quarto	Ouro Enf	Ouro Quarto	Ouro II Quarto	Platinum R1 Quarto	Platinum R2 Quarto	S380 Enf	S380 Quarto	S450 Enf	S450 Quarto	S750 R1 Quarto	S750 R2 Quarto	S750 R3 Quarto	Black I R1 Quarto	Black I R2 Quarto	Black I R3 Quarto	S2500 R1 Quarto	S2500 R2 Quarto	Black II R1 Quarto	Black II R2 Quarto	Black II R3 Quarto	S6500 Black R1 Quarto	S6500 Black R2 Quarto	S6500 Black R3 Quarto
Grande SP	Taboão da Serra	H Family	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Grande SP	Itapecerica da Serra	Sta Mônica	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Grande SP	Osasco	Projeto Criança	-	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	-	-	-	-	-	-	-	-	-	-	-
Grande SP	Carapicuíba	Central Oeste	-	-	-	-	-	-	-	-	-	H¹,M,PS¹	H¹,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,PS¹	H¹,M,PS¹	-	-	-	H¹,PS	H¹,PS	-	-	-	H¹,PS	H¹,PS	H¹,PS
Grande SP	Jandira	CC NDI Nova Vida I	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA
Grande SP	Barueri	CM Albert Einstein - Alphaville	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PA,PS¹	PA,PS¹	PA,PS¹	PA,PS¹	PA,PS¹	PA,PS¹	PA,PS¹	PA,PS¹	PA,PS¹	PA,PS¹	PA,PS¹
Grande SP	Osasco	GTO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹
Grande SP	Itapevi	H e Mat Nova Vida	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M
Grande SP	Osasco	H e M São Luíz	-	-	-	-	-	-	-	-	-	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	-	-	-	H¹,M,PS¹	H¹,M,PS¹	-	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Alto Tietê	Itaquaquecetuba	H e M Ipiranga Unid Avançada Itaquá	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA
Alto Tietê	Mogi das Cruzes	H Ipiranga	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
