regiao	cidade	hospital	Bronze SP Enf	Bronze SP Mais Enf	Prata Enf	Prata Quarto	Ouro Enf	Ouro Quarto	Ouro II Quarto	Platinum R1 Quarto	Platinum R2 Quarto	S380 Enf	S380 Quarto	S450 Enf	S450 Quarto	S750 R1 Quarto	S750 R2 Quarto	S750 R3 Quarto	Black I R1 Quarto	Black I R2 Quarto	Black I R3 Quarto	S2500 R1 Quarto	S2500 R2 Quarto	Black II R1 Quarto	Black II R2 Quarto	Black II R3 Quarto	S6500 Black R1 Quarto	S6500 Black R2 Quarto	S6500 Black R3 Quarto
Campinas e Região	Valinhos	H e Mat Galileo	-	-	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS
Campinas e Região	Itatiba	H Itatiba	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Indaiatuba	H Sta Ignês	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Bragança Paulista	H Universitário HUSF	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Piracicaba	HFC	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Itapira	Inst Bairral Psiquiatria	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Rio Claro	IORC	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Monte Mor	Sagrado Coração de Jesus	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Campinas	Samaritano de Campinas	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M
Campinas e Região	Serra Negra	Santa Rosa de Lima	-	-	H	H	H	H	H	H	H	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H	H	H	H¹	H¹	H	H	H	H¹	H¹	H¹
Campinas e Região	Americana	São Francisco de Americana	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Campinas e Região	Bragança Paulista	Sta Casa	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Campinas e Região	Capivari	Sta Casa	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Campinas e Região	Cosmópolis	Sta Casa	-	-	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹
Campinas e Região	Itatiba	Sta Casa	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Campinas e Região	Leme	Sta Casa	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Limeira	Sta Casa	-	-	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS
Campinas e Região	Pirassununga	Sta Casa	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	São Pedro	Sta Casa	-	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS
Campinas e Região	Casa Branca	Sta Casa de Casa Branca	-	-	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M
Campinas e Região	Piracaia	Sta Casa São Vicente de Paulo	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Campinas e Região	Rio Claro	Sta Filomena	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Cosmópolis	Sta Gertrudes	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Campinas	H Vera Cruz	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	-	H¹,M,PS¹	H¹,M,PS¹	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Campinas	H Geral e Mat Sta Tereza	-	-	-	-	H¹,M,PS¹	H¹,M,PS¹	-	H¹,M,PS¹	H¹,M,PS¹	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Campinas e Região	Jundiaí	H Sta Elisa	-	-	-	-	H,M,PS¹	H,M,PS¹	-	H,M,PS¹	H,M,PS¹	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹
Campinas e Região	Campinas	Inst Oftalmootorrinolaringológico	-	-	-	-	H	H	-	H	H	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Campinas	Campinas Day H	-	-	-	-	-	-	-	H	H	-	-	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Campinas	Centro Médico Campinas	-	-	-	-	-	-	-	H¹,M,PS¹	H¹,M,PS¹	-	-	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Campinas e Região	Campinas	H Sta Sofia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Campinas e Região	Atibaia	H Novo Atibaia	-	-	-	-	-	-	-	-	-	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	-	-	-	H¹,M,PS¹	H¹,M,PS¹	-	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Campinas e Região	Campinas	CC Campinas	-	-	-	-	H	H	-	H	H	-	-	H	H	H	H	H	-	-	-	-	-	-	-	-	-	-	-
Campinas e Região	Campinas	H São Luiz	-	-	-	-	-	-	-	-	-	-	-	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	-	-	-	H¹,M,PS¹	H¹,M,PS¹	-	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Jarinu	H Jarinu	-	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS	PS
Interior	São José do Rio Preto	Casa de Saúde Sta Helena	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Presidente Prudente	Cto de Fraturas São Lucas	-	-	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹	H,PS¹
Interior	Ribeirão Preto	GCS Neurocirurgia	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Interior	São José do Rio Preto	H Austa	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M	H¹,M
Interior	Bauru	H Bauru	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Ribeirão Preto	H das Clín Faculdade de Medicina	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	São José do Rio Preto	H de Base	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Franca	H de Franca	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Assis	H de Olhos Oeste Paulista	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Interior	São José do Rio Preto	H do Coração S J Rio Preto	-	-	H	H	H	H	H	H	H	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H	H	H	H¹	H¹	H	H	H	H¹	H¹	H¹
Interior	Estrela d'Oeste	H Dr Onofre S Rosateli	-	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS
Interior	Caçapava	H e M Policlin Caçapava	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Interior	Mirassol	H e Mat Mãe do Divino Amor	-	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Interior	Franca	H e Mat São Joaquim	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Registro	H e Mat São José	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Lins	H e Mat São Lucas	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Presidente Prudente	H Iamada	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Ribeirão Preto	H Oftalmológico Ribeirão Preto	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Interior	Catanduva	H Padre Albino	-	-	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS
Interior	Araras	H Pro Saúde Geral Araras	-	-	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS
Interior	Ribeirão Preto	H São Francisco	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Interior	Sertãozinho	H São Francisco - Unid Netto Campello	-	-	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹	H¹,PA,PS¹
Interior	Registro	H São João	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Barretos	H São Jorge	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Ituverava	H São Jorge	-	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Interior	Ribeirão Preto	H São Lucas	-	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS	H¹,PS	H¹,PS	H¹,PS¹	H¹,PS¹	H¹,PS¹
